sno,date,state,country,lat,lon,value,deaths,recovered
92,2/2/20,,Albania,41.1533,20.1683,0,0,0
93,2/3/20,,Albania,41.1533,20.1683,0,0,0
94,2/4/20,,Albania,41.1533,20.1683,0,0,0
95,2/5/20,,Albania,41.1533,20.1683,0,0,0
96,2/6/20,,Albania,41.1533,20.1683,0,0,0
97,2/7/20,,Albania,41.1533,20.1683,0,0,0
98,2/8/20,,Albania,41.1533,20.1683,0,0,0
99,2/9/20,,Albania,41.1533,20.1683,0,0,0
100,2/10/20,,Albania,41.1533,20.1683,0,0,0
101,2/11/20,,Albania,41.1533,20.1683,0,0,0
102,2/12/20,,Albania,41.1533,20.1683,0,0,0
103,2/13/20,,Albania,41.1533,20.1683,0,0,0
104,2/14/20,,Albania,41.1533,20.1683,0,0,0
105,2/15/20,,Albania,41.1533,20.1683,0,0,0
106,2/16/20,,Albania,41.1533,20.1683,0,0,0
107,2/17/20,,Albania,41.1533,20.1683,0,0,0
108,2/18/20,,Albania,41.1533,20.1683,0,0,0
109,2/19/20,,Albania,41.1533,20.1683,0,0,0
110,2/20/20,,Albania,41.1533,20.1683,0,0,0
111,2/21/20,,Albania,41.1533,20.1683,0,0,0
112,2/22/20,,Albania,41.1533,20.1683,0,0,0
113,2/23/20,,Albania,41.1533,20.1683,0,0,0
114,2/24/20,,Albania,41.1533,20.1683,0,0,0
115,2/25/20,,Albania,41.1533,20.1683,0,0,0
116,2/26/20,,Albania,41.1533,20.1683,0,0,0
117,2/27/20,,Albania,41.1533,20.1683,0,0,0
118,2/28/20,,Albania,41.1533,20.1683,0,0,0
119,2/29/20,,Albania,41.1533,20.1683,0,0,0
120,3/1/20,,Albania,41.1533,20.1683,0,0,0
121,3/2/20,,Albania,41.1533,20.1683,0,0,0
122,3/3/20,,Albania,41.1533,20.1683,0,0,0
123,3/4/20,,Albania,41.1533,20.1683,0,0,0
124,3/5/20,,Albania,41.1533,20.1683,0,0,0
125,3/6/20,,Albania,41.1533,20.1683,0,0,0
126,3/7/20,,Albania,41.1533,20.1683,0,0,0
127,3/8/20,,Albania,41.1533,20.1683,0,0,0
128,3/9/20,,Albania,41.1533,20.1683,2,0,0
129,3/10/20,,Albania,41.1533,20.1683,10,0,0
130,3/11/20,,Albania,41.1533,20.1683,12,1,0
131,3/12/20,,Albania,41.1533,20.1683,23,1,0
132,3/13/20,,Albania,41.1533,20.1683,33,1,0
133,3/14/20,,Albania,41.1533,20.1683,38,1,0
134,3/15/20,,Albania,41.1533,20.1683,42,1,0
135,3/16/20,,Albania,41.1533,20.1683,51,1,0
136,3/17/20,,Albania,41.1533,20.1683,55,1,0
137,3/18/20,,Albania,41.1533,20.1683,59,2,0
138,3/19/20,,Albania,41.1533,20.1683,64,2,0
139,3/20/20,,Albania,41.1533,20.1683,70,2,0
140,3/21/20,,Albania,41.1533,20.1683,76,2,2
141,3/22/20,,Albania,41.1533,20.1683,89,2,2
142,3/23/20,,Albania,41.1533,20.1683,104,4,2
143,3/24/20,,Albania,41.1533,20.1683,123,5,10
144,3/25/20,,Albania,41.1533,20.1683,146,5,17
145,3/26/20,,Albania,41.1533,20.1683,174,6,17
146,3/27/20,,Albania,41.1533,20.1683,186,8,31
147,3/28/20,,Albania,41.1533,20.1683,197,10,31
148,3/29/20,,Albania,41.1533,20.1683,212,10,33
149,3/30/20,,Albania,41.1533,20.1683,223,11,44
150,3/31/20,,Albania,41.1533,20.1683,243,15,52
151,4/1/20,,Albania,41.1533,20.1683,259,15,67
152,4/2/20,,Albania,41.1533,20.1683,277,16,76
153,4/3/20,,Albania,41.1533,20.1683,304,17,89
154,4/4/20,,Albania,41.1533,20.1683,333,20,99
155,4/5/20,,Albania,41.1533,20.1683,361,20,104
156,4/6/20,,Albania,41.1533,20.1683,377,21,116
157,4/7/20,,Albania,41.1533,20.1683,383,22,131
158,4/8/20,,Albania,41.1533,20.1683,400,22,154
159,4/9/20,,Albania,41.1533,20.1683,409,23,165
160,4/10/20,,Albania,41.1533,20.1683,416,23,182
161,4/11/20,,Albania,41.1533,20.1683,433,23,197
162,1/22/20,,Algeria,28.0339,1.6596,0,0,0
163,1/23/20,,Algeria,28.0339,1.6596,0,0,0
164,1/24/20,,Algeria,28.0339,1.6596,0,0,0
165,1/25/20,,Algeria,28.0339,1.6596,0,0,0
166,1/26/20,,Algeria,28.0339,1.6596,0,0,0
167,1/27/20,,Algeria,28.0339,1.6596,0,0,0
168,1/28/20,,Algeria,28.0339,1.6596,0,0,0
169,1/29/20,,Algeria,28.0339,1.6596,0,0,0
170,1/30/20,,Algeria,28.0339,1.6596,0,0,0
171,1/31/20,,Algeria,28.0339,1.6596,0,0,0
172,2/1/20,,Algeria,28.0339,1.6596,0,0,0
173,2/2/20,,Algeria,28.0339,1.6596,0,0,0
174,2/3/20,,Algeria,28.0339,1.6596,0,0,0
175,2/4/20,,Algeria,28.0339,1.6596,0,0,0
176,2/5/20,,Algeria,28.0339,1.6596,0,0,0
177,2/6/20,,Algeria,28.0339,1.6596,0,0,0
178,2/7/20,,Algeria,28.0339,1.6596,0,0,0
179,2/8/20,,Algeria,28.0339,1.6596,0,0,0
180,2/9/20,,Algeria,28.0339,1.6596,0,0,0
181,2/10/20,,Algeria,28.0339,1.6596,0,0,0
182,2/11/20,,Algeria,28.0339,1.6596,0,0,0
183,2/12/20,,Algeria,28.0339,1.6596,0,0,0
184,2/13/20,,Algeria,28.0339,1.6596,0,0,0
185,2/14/20,,Algeria,28.0339,1.6596,0,0,0
186,2/15/20,,Algeria,28.0339,1.6596,0,0,0
187,2/16/20,,Algeria,28.0339,1.6596,0,0,0
188,2/17/20,,Algeria,28.0339,1.6596,0,0,0
189,2/18/20,,Algeria,28.0339,1.6596,0,0,0
190,2/19/20,,Algeria,28.0339,1.6596,0,0,0
191,2/20/20,,Algeria,28.0339,1.6596,0,0,0
192,2/21/20,,Algeria,28.0339,1.6596,0,0,0
193,2/22/20,,Algeria,28.0339,1.6596,0,0,0
194,2/23/20,,Algeria,28.0339,1.6596,0,0,0
195,2/24/20,,Algeria,28.0339,1.6596,0,0,0
196,2/25/20,,Algeria,28.0339,1.6596,1,0,0
197,2/26/20,,Algeria,28.0339,1.6596,1,0,0
198,2/27/20,,Algeria,28.0339,1.6596,1,0,0
199,2/28/20,,Algeria,28.0339,1.6596,1,0,0
200,2/29/20,,Algeria,28.0339,1.6596,1,0,0
201,3/1/20,,Algeria,28.0339,1.6596,1,0,0
202,3/2/20,,Algeria,28.0339,1.6596,3,0,0
203,3/3/20,,Algeria,28.0339,1.6596,5,0,0
204,3/4/20,,Algeria,28.0339,1.6596,12,0,0
205,3/5/20,,Algeria,28.0339,1.6596,12,0,0
206,3/6/20,,Algeria,28.0339,1.6596,17,0,0
207,3/7/20,,Algeria,28.0339,1.6596,17,0,0
208,3/8/20,,Algeria,28.0339,1.6596,19,0,0
209,3/9/20,,Algeria,28.0339,1.6596,20,0,0
210,3/10/20,,Algeria,28.0339,1.6596,20,0,0
211,3/11/20,,Algeria,28.0339,1.6596,20,0,0
212,3/12/20,,Algeria,28.0339,1.6596,24,1,8
213,3/13/20,,Algeria,28.0339,1.6596,26,2,8
214,3/14/20,,Algeria,28.0339,1.6596,37,3,12
215,3/15/20,,Algeria,28.0339,1.6596,48,4,12
216,3/16/20,,Algeria,28.0339,1.6596,54,4,12
217,3/17/20,,Algeria,28.0339,1.6596,60,4,12
218,3/18/20,,Algeria,28.0339,1.6596,74,7,12
219,3/19/20,,Algeria,28.0339,1.6596,87,9,32
220,3/20/20,,Algeria,28.0339,1.6596,90,11,32
221,3/21/20,,Algeria,28.0339,1.6596,139,15,32
222,3/22/20,,Algeria,28.0339,1.6596,201,17,65
223,3/23/20,,Algeria,28.0339,1.6596,230,17,65
224,3/24/20,,Algeria,28.0339,1.6596,264,19,24
225,3/25/20,,Algeria,28.0339,1.6596,302,21,65
226,3/26/20,,Algeria,28.0339,1.6596,367,25,29
227,3/27/20,,Algeria,28.0339,1.6596,409,26,29
228,3/28/20,,Algeria,28.0339,1.6596,454,29,31
229,3/29/20,,Algeria,28.0339,1.6596,511,31,31
230,3/30/20,,Algeria,28.0339,1.6596,584,35,37
231,3/31/20,,Algeria,28.0339,1.6596,716,44,46
232,4/1/20,,Algeria,28.0339,1.6596,847,58,61
233,4/2/20,,Algeria,28.0339,1.6596,986,86,61
234,4/3/20,,Algeria,28.0339,1.6596,1171,105,62
235,4/4/20,,Algeria,28.0339,1.6596,1251,130,90
236,4/5/20,,Algeria,28.0339,1.6596,1320,152,90
237,4/6/20,,Algeria,28.0339,1.6596,1423,173,90
238,4/7/20,,Algeria,28.0339,1.6596,1468,193,113
239,4/8/20,,Algeria,28.0339,1.6596,1572,205,237
240,4/9/20,,Algeria,28.0339,1.6596,1666,235,347
241,4/10/20,,Algeria,28.0339,1.6596,1761,256,405
242,4/11/20,,Algeria,28.0339,1.6596,1825,275,460
243,1/22/20,,Andorra,42.5063,1.5218,0,0,0
244,1/23/20,,Andorra,42.5063,1.5218,0,0,0
245,1/24/20,,Andorra,42.5063,1.5218,0,0,0
246,1/25/20,,Andorra,42.5063,1.5218,0,0,0
247,1/26/20,,Andorra,42.5063,1.5218,0,0,0
248,1/27/20,,Andorra,42.5063,1.5218,0,0,0
249,1/28/20,,Andorra,42.5063,1.5218,0,0,0
250,1/29/20,,Andorra,42.5063,1.5218,0,0,0
251,1/30/20,,Andorra,42.5063,1.5218,0,0,0
252,1/31/20,,Andorra,42.5063,1.5218,0,0,0
253,2/1/20,,Andorra,42.5063,1.5218,0,0,0
254,2/2/20,,Andorra,42.5063,1.5218,0,0,0
255,2/3/20,,Andorra,42.5063,1.5218,0,0,0
256,2/4/20,,Andorra,42.5063,1.5218,0,0,0
257,2/5/20,,Andorra,42.5063,1.5218,0,0,0
258,2/6/20,,Andorra,42.5063,1.5218,0,0,0
259,2/7/20,,Andorra,42.5063,1.5218,0,0,0
260,2/8/20,,Andorra,42.5063,1.5218,0,0,0
261,2/9/20,,Andorra,42.5063,1.5218,0,0,0
262,2/10/20,,Andorra,42.5063,1.5218,0,0,0
263,2/11/20,,Andorra,42.5063,1.5218,0,0,0
264,2/12/20,,Andorra,42.5063,1.5218,0,0,0
265,2/13/20,,Andorra,42.5063,1.5218,0,0,0
266,2/14/20,,Andorra,42.5063,1.5218,0,0,0
267,2/15/20,,Andorra,42.5063,1.5218,0,0,0
268,2/16/20,,Andorra,42.5063,1.5218,0,0,0
269,2/17/20,,Andorra,42.5063,1.5218,0,0,0
270,2/18/20,,Andorra,42.5063,1.5218,0,0,0
271,2/19/20,,Andorra,42.5063,1.5218,0,0,0
272,2/20/20,,Andorra,42.5063,1.5218,0,0,0
273,2/21/20,,Andorra,42.5063,1.5218,0,0,0
274,2/22/20,,Andorra,42.5063,1.5218,0,0,0
275,2/23/20,,Andorra,42.5063,1.5218,0,0,0
276,2/24/20,,Andorra,42.5063,1.5218,0,0,0
277,2/25/20,,Andorra,42.5063,1.5218,0,0,0
278,2/26/20,,Andorra,42.5063,1.5218,0,0,0
279,2/27/20,,Andorra,42.5063,1.5218,0,0,0
280,2/28/20,,Andorra,42.5063,1.5218,0,0,0
281,2/29/20,,Andorra,42.5063,1.5218,0,0,0
282,3/1/20,,Andorra,42.5063,1.5218,0,0,0
283,3/2/20,,Andorra,42.5063,1.5218,1,0,0
284,3/3/20,,Andorra,42.5063,1.5218,1,0,0
285,3/4/20,,Andorra,42.5063,1.5218,1,0,0
286,3/5/20,,Andorra,42.5063,1.5218,1,0,0
287,3/6/20,,Andorra,42.5063,1.5218,1,0,0
288,3/7/20,,Andorra,42.5063,1.5218,1,0,0
289,3/8/20,,Andorra,42.5063,1.5218,1,0,0
290,3/9/20,,Andorra,42.5063,1.5218,1,0,0
291,3/10/20,,Andorra,42.5063,1.5218,1,0,0
292,3/11/20,,Andorra,42.5063,1.5218,1,0,0
293,3/12/20,,Andorra,42.5063,1.5218,1,0,1
294,3/13/20,,Andorra,42.5063,1.5218,1,0,0
295,3/14/20,,Andorra,42.5063,1.5218,1,0,1
296,3/15/20,,Andorra,42.5063,1.5218,1,0,1
297,3/16/20,,Andorra,42.5063,1.5218,2,0,1
298,3/17/20,,Andorra,42.5063,1.5218,39,0,1
299,3/18/20,,Andorra,42.5063,1.5218,39,0,1
300,3/19/20,,Andorra,42.5063,1.5218,53,0,1
301,3/20/20,,Andorra,42.5063,1.5218,75,0,1
302,3/21/20,,Andorra,42.5063,1.5218,88,0,1
303,3/22/20,,Andorra,42.5063,1.5218,113,1,1
304,3/23/20,,Andorra,42.5063,1.5218,133,1,1
305,3/24/20,,Andorra,42.5063,1.5218,164,1,1
306,3/25/20,,Andorra,42.5063,1.5218,188,1,1
307,3/26/20,,Andorra,42.5063,1.5218,224,3,1
308,3/27/20,,Andorra,42.5063,1.5218,267,3,1
309,3/28/20,,Andorra,42.5063,1.5218,308,3,1
310,3/29/20,,Andorra,42.5063,1.5218,334,6,1
311,3/30/20,,Andorra,42.5063,1.5218,370,8,10
312,3/31/20,,Andorra,42.5063,1.5218,376,12,10
313,4/1/20,,Andorra,42.5063,1.5218,390,14,10
314,4/2/20,,Andorra,42.5063,1.5218,428,15,10
315,4/3/20,,Andorra,42.5063,1.5218,439,16,16
316,4/4/20,,Andorra,42.5063,1.5218,466,17,21
317,4/5/20,,Andorra,42.5063,1.5218,501,18,26
318,4/6/20,,Andorra,42.5063,1.5218,525,21,31
319,4/7/20,,Andorra,42.5063,1.5218,545,22,39
320,4/8/20,,Andorra,42.5063,1.5218,564,23,52
321,4/9/20,,Andorra,42.5063,1.5218,583,25,58
322,4/10/20,,Andorra,42.5063,1.5218,601,26,71
323,4/11/20,,Andorra,42.5063,1.5218,601,26,71
324,1/22/20,,Angola,-11.2027,17.8739,0,0,0
325,1/23/20,,Angola,-11.2027,17.8739,0,0,0
326,1/24/20,,Angola,-11.2027,17.8739,0,0,0
327,1/25/20,,Angola,-11.2027,17.8739,0,0,0
328,1/26/20,,Angola,-11.2027,17.8739,0,0,0
329,1/27/20,,Angola,-11.2027,17.8739,0,0,0
330,1/28/20,,Angola,-11.2027,17.8739,0,0,0
331,1/29/20,,Angola,-11.2027,17.8739,0,0,0
332,1/30/20,,Angola,-11.2027,17.8739,0,0,0
333,1/31/20,,Angola,-11.2027,17.8739,0,0,0
334,2/1/20,,Angola,-11.2027,17.8739,0,0,0
335,2/2/20,,Angola,-11.2027,17.8739,0,0,0
336,2/3/20,,Angola,-11.2027,17.8739,0,0,0
337,2/4/20,,Angola,-11.2027,17.8739,0,0,0
338,2/5/20,,Angola,-11.2027,17.8739,0,0,0
339,2/6/20,,Angola,-11.2027,17.8739,0,0,0
340,2/7/20,,Angola,-11.2027,17.8739,0,0,0
341,2/8/20,,Angola,-11.2027,17.8739,0,0,0
342,2/9/20,,Angola,-11.2027,17.8739,0,0,0
343,2/10/20,,Angola,-11.2027,17.8739,0,0,0
344,2/11/20,,Angola,-11.2027,17.8739,0,0,0
345,2/12/20,,Angola,-11.2027,17.8739,0,0,0
346,2/13/20,,Angola,-11.2027,17.8739,0,0,0
347,2/14/20,,Angola,-11.2027,17.8739,0,0,0
348,2/15/20,,Angola,-11.2027,17.8739,0,0,0
349,2/16/20,,Angola,-11.2027,17.8739,0,0,0
350,2/17/20,,Angola,-11.2027,17.8739,0,0,0
351,2/18/20,,Angola,-11.2027,17.8739,0,0,0
352,2/19/20,,Angola,-11.2027,17.8739,0,0,0
353,2/20/20,,Angola,-11.2027,17.8739,0,0,0
354,2/21/20,,Angola,-11.2027,17.8739,0,0,0
355,2/22/20,,Angola,-11.2027,17.8739,0,0,0
356,2/23/20,,Angola,-11.2027,17.8739,0,0,0
357,2/24/20,,Angola,-11.2027,17.8739,0,0,0
358,2/25/20,,Angola,-11.2027,17.8739,0,0,0
359,2/26/20,,Angola,-11.2027,17.8739,0,0,0
360,2/27/20,,Angola,-11.2027,17.8739,0,0,0
361,2/28/20,,Angola,-11.2027,17.8739,0,0,0
362,2/29/20,,Angola,-11.2027,17.8739,0,0,0
363,3/1/20,,Angola,-11.2027,17.8739,0,0,0
364,3/2/20,,Angola,-11.2027,17.8739,0,0,0
